MbaAnnualSalary,BachAnnualSalary
95790.00,58408.00
90108.00,64161.00
87306.00,54944.00
85496.00,61651.00
83648.00,56208.00
82373.00,57732.00
81398.00,62825.00
81157.00,57320.00
80736.00,56470.00
80727.00,57135.00
79578.00,57131.00
79172.00,57060.00
78813.00,58496.00
78159.00,59512.00
77753.00,57584.00
77685.00,60415.00
76890.00,61579.00
76734.00,58168.00
76607.00,56978.00
76444.00,55975.00
76385.00,58346.00
75938.00,52023.00
75609.00,57863.00
75039.00,58992.00
74945.00,58362.00
74133.00,55159.00
73150.00,56936.00
72463.00,56982.00
72067.00,56260.00
71869.00,55090.00
71098.00,59380.00
71075.00,55433.00
70799.00,56113.00
70726.00,55931.00
70697.00,54771.00
70614.00,53777.00
69610.00,53970.00
68963.00,52640.00
68639.00,56815.00
67965.00,52115.00
67474.00,52951.00
67293.00,52180.00
66671.00,55245.00
66353.00,52603.00
66307.00,56625.00
65660.00,51897.00
64957.00,52359.00
63447.00,58100.00
61155.00,54231.00
58329.00,56726.00
