State,AnnualSalary,MonthlyPay,WeeklyPay,HourlyWage,CareerEarnings
Washington,58408.00,4867.33,1123.23,28.08,2453136.00
New York,64161.00,5346.75,1233.87,30.85,2694762.00
Idaho,54944.00,4578.67,1056.62,26.42,2307648.00
California,61651.00,5137.58,1185.60,29.64,2589342.00
New Hampshire,56208.00,4684.00,1080.92,27.02,2360736.00
Vermont,57732.00,4811.00,1110.23,27.76,2424744.00
Massachusetts,62825.00,5235.42,1208.17,30.20,2638650.00
Hawaii,57320.00,4776.67,1102.31,27.56,2407440.00
Nevada,56470.00,4705.83,1085.96,27.15,2371740.00
Maine,57135.00,4761.25,1098.75,27.47,2399670.00
Tennessee,57131.00,4760.92,1098.67,27.47,2399502.00
Arizona,57060.00,4755.00,1097.31,27.43,2396520.00
Wyoming,58496.00,4874.67,1124.92,28.12,2456832.00
New Jersey,59512.00,4959.33,1144.46,28.61,2499504.00
Texas,57584.00,4798.67,1107.38,27.68,2418528.00
Connecticut,60415.00,5034.58,1161.83,29.05,2537430.00
Alaska,61579.00,5131.58,1184.21,29.61,2586318.00
Rhode Island,58168.00,4847.33,1118.62,27.97,2443056.00
Oregon,56978.00,4748.17,1095.73,27.39,2393076.00
Indiana,55975.00,4664.58,1076.44,26.91,2350950.00
Minnesota,58346.00,4862.17,1122.04,28.05,2450532.00
West Virginia,52023.00,4335.25,1000.44,25.01,2184966.00
Montana,57863.00,4821.92,1112.75,27.82,2430246.00
Maryland,58992.00,4916.00,1134.46,28.36,2477664.00
North Dakota,58362.00,4863.50,1122.35,28.06,2451204.00
Pennsylvania,55159.00,4596.58,1060.75,26.52,2316678.00
Virginia,56936.00,4744.67,1094.92,27.37,2391312.00
Wisconsin,56982.00,4748.50,1095.81,27.40,2393244.00
Ohio,56260.00,4688.33,1081.92,27.05,2362920.00
South Dakota,55090.00,4590.83,1059.42,26.49,2313780.00
Colorado,59380.00,4948.33,1141.92,28.55,2493960.00
Iowa,55433.00,4619.42,1066.02,26.65,2328186.00
Utah,56113.00,4676.08,1079.10,26.98,2356746.00
Delaware,55931.00,4660.92,1075.60,26.89,2349102.00
Kentucky,54771.00,4564.25,1053.29,26.33,2300382.00
Nebraska,53777.00,4481.42,1034.17,25.85,2258634.00
South Carolina,53970.00,4497.50,1037.88,25.95,2266740.00
Alabama,52640.00,4386.67,1012.31,25.31,2210880.00
New Mexico,56815.00,4734.58,1092.60,27.31,2386230.00
Kansas,52115.00,4342.92,1002.21,25.06,2188830.00
Oklahoma,52951.00,4412.58,1018.29,25.46,2223942.00
Arkansas,52180.00,4348.33,1003.46,25.09,2191560.00
Mississippi,55245.00,4603.75,1062.40,26.56,2320290.00
Illinois,52603.00,4383.58,1011.60,25.29,2209326.00
Michigan,56625.00,4718.75,1088.94,27.22,2378250.00
Missouri,51897.00,4324.75,998.02,24.95,2179674.00
Florida,52359.00,4363.25,1006.90,25.17,2199078.00
Georgia,58100.00,4841.67,1117.31,27.93,2440200.00
Louisiana,54231.00,4519.25,1042.90,26.07,2277702.00
North Carolina,56726.00,4727.17,1090.88,27.27,2382492.00
