State,Annual Salary,Monthly Pay,Weekly Pay,Hourly Wage,Career Earnings
Washington,95790.00,7982.00,1842.00,46.05,3769800.00
New York,90108.00,7509.00,1732.00,43.32,3542520.00
Idaho,87306.00,7275.00,1678.00,41.97,3430440.00
California,85496.00,7124.00,1644.00,41.10,3358040.00
New Hampshire,83648.00,6970.00,1608.00,40.22,3284120.00
Vermont,82373.00,6864.00,1584.00,39.60,3233120.00
Massachusetts,81398.00,6783.00,1565.00,39.13,3194120.00
Hawaii,81157.00,6763.00,1560.00,39.02,3184480.00
Nevada,80736.00,6728.00,1552.00,38.82,3167640.00
Maine,80727.00,6727.00,1552.00,38.81,3167280.00
Tennessee,79578.00,6631.00,1530.00,38.26,3121320.00
Arizona,79172.00,6597.00,1522.00,38.06,3105080.00
Wyoming,78813.00,6567.00,1515.00,37.89,3090720.00
New Jersey,78159.00,6513.00,1503.00,37.58,3064560.00
Texas,77753.00,6479.00,1495.00,37.38,3048320.00
Connecticut,77685.00,6473.00,1493.00,37.35,3045600.00
Alaska,76890.00,6407.00,1478.00,36.97,3013800.00
Rhode Island,76734.00,6394.00,1475.00,36.89,3007560.00
Oregon,76607.00,6383.00,1473.00,36.83,3002480.00
Indiana,76444.00,6370.00,1470.00,36.75,2995960.00
Minnesota,76385.00,6365.00,1468.00,36.72,2993600.00
West Virginia,75938.00,6328.00,1460.00,36.51,2975720.00
Montana,75609.00,6300.00,1454.00,36.35,2962560.00
Maryland,75039.00,6253.00,1443.00,36.08,2939760.00
North Dakota,74945.00,6245.00,1441.00,36.03,2936000.00
Pennsylvania,74133.00,6177.00,1425.00,35.64,2903520.00
Virginia,73150.00,6095.00,1406.00,35.17,2864200.00
Wisconsin,72463.00,6038.00,1393.00,34.84,2836720.00
Ohio,72067.00,6005.00,1385.00,34.65,2820880.00
South Dakota,71869.00,5989.00,1382.00,34.55,2812960.00
Colorado,71098.00,5924.00,1367.00,34.18,2782120.00
Iowa,71075.00,5922.00,1366.00,34.17,2781200.00
Utah,70799.00,5899.00,1361.00,34.04,2770160.00
Delaware,70726.00,5893.00,1360.00,34.00,2767240.00
Kentucky,70697.00,5891.00,1359.00,33.99,2766080.00
Nebraska,70614.00,5884.00,1357.00,33.95,2762760.00
South Carolina,69610.00,5800.00,1338.00,33.47,2722600.00
Alabama,68963.00,5746.00,1326.00,33.16,2696720.00
New Mexico,68639.00,5719.00,1319.00,33.00,2683760.00
Kansas,67965.00,5663.00,1307.00,32.68,2656800.00
Oklahoma,67474.00,5622.00,1297.00,32.44,2637160.00
Arkansas,67293.00,5607.00,1294.00,32.35,2629920.00
Mississippi,66671.00,5555.00,1282.00,32.05,2605040.00
Illinois,66353.00,5529.00,1276.00,31.90,2592320.00
Michigan,66307.00,5525.00,1275.00,31.88,2590480.00
Missouri,65660.00,5471.00,1262.00,31.57,2564600.00
Florida,64957.00,5413.00,1249.00,31.23,2536480.00
Georgia,63447.00,5287.00,1220.00,30.50,2476080.00
Louisiana,61155.00,5096.00,1176.00,29.40,2384400.00
North Carolina,58329.00,4860.00,1121.00,28.04,2271360.00
